			|	Алексей      	|	Константин   	|	Пётр         	|	Сергей       	|	Артур        	|	Альберт      	|	Николай      	|	Анна         	|	Алина        	|	Татьяна      	
10.04.2014	|	0,66702672   	|	0,800955536  	|	0,43254686   	|	0,997381462  	|	0,248385642  	|	0,891552673  	|	0,115181686  	|	0,087123341  	|	0,097405871  	|	0,210706934  	
11.04.2014	|	0,670182476  	|	0,278783766  	|	0,752237268  	|	0,270834655  	|	0,532088026  	|	0,283082277  	|	0,481327384  	|	0,158895532  	|	0,212772397  	|	0,073378435  	
12.04.2014	|	0,337505115  	|	0,405217108  	|	0,514713717  	|	0,296938512  	|	0,27992396   	|	0,655679716  	|	0,849272495  	|	0,093544047  	|	0,925426435  	|	0,49579559   	
13.04.2014	|	0,855066016  	|	0,597663577  	|	0,538195643  	|	0,977329264  	|	0,003697852  	|	0,209347028  	|	0,134675235  	|	0,62207752   	|	0,369813659  	|	0,371076075  	
14.04.2014	|	0,73052227   	|	0,673223989  	|	0,213724808  	|	0,718523881  	|	0,199211153  	|	0,657538961  	|	0,911719759  	|	0,657826549  	|	0,135096163  	|	0,437208242  	
15.04.2014	|	0,854284554  	|	0,730469646  	|	0,657177226  	|	0,642867345  	|	0,14199097   	|	0,958350639  	|	0,059099696  	|	0,639775921  	|	0,200307509  	|	0,287206981  	
16.04.2014	|	0,728727666  	|	0,152391625  	|	0,694918627  	|	0,498957067  	|	0,334889812  	|	0,729417987  	|	0,347850334  	|	0,529217844  	|	0,12464962   	|	0,02662993   	
17.04.2014	|	0,183595389  	|	0,62586436   	|	0,306998142  	|	0,800472149  	|	0,315628788  	|	0,136024191  	|	0,48760288   	|	0,573268753  	|	0,075082764  	|	0,008706764  	
18.04.2014	|	0,755189336  	|	0,319021211  	|	0,2          	|	0,834904773  	|	0,061960323  	|	0,285470576  	|	0,799819653  	|	0,484776382  	|	0,836550824  	|	0,140418114  	
19.04.2014	|	0,66056564   	|	0,605762552  	|	0,473113039  	|	0,770006982  	|	0,933435808  	|	0,888126408  	|	0,008894438  	|	0,488397323  	|	0,088533422  	|	0,64200426   	
20.04.2014	|	0,457580538  	|	0,087009618  	|	0,741328391  	|	0,811481332  	|	0,084011616  	|	0,078130208  	|	0,71703853   	|	0,724893402  	|	0,063999196  	|	0,184961692  	
21.04.2014	|	0,37733675   	|	0,916413758  	|	0,112081805  	|	0,989521948  	|	0,301109973  	|	0,006131918  	|	0,7          	|	0,616229975  	|	0,173227551  	|	0,077620385  	
22.04.2014	|	0,696437463  	|	0,802450207  	|	0,93085571   	|	0,446205425  	|	0,098466602  	|	0,477389292  	|	0,376057135  	|	0,540165414  	|	0,331633106  	|	0,362931625  	
23.04.2014	|	0,848582565  	|	0,381239502  	|	0,905664692  	|	0,33124022   	|	0,625457506  	|	0,046768552  	|	0,661993543  	|	0,920968072  	|	0,377323802  	|	0,643050963  	
24.04.2014	|	0,459172344  	|	0,621177753  	|	0,82037588   	|	0,743190536  	|	0,072576081  	|	0,045883224  	|	0,897869424  	|	0,548387353  	|	0,248463575  	|	0,757578016  	
25.04.2014	|	0,654828106  	|	0,15         	|	0,342303537  	|	0,017834392  	|	0,26735157   	|	0,089606807  	|	0,732382829  	|	0,766831641  	|	0,907093011  	|	0,234844191  	
26.04.2014	|	0,355435455  	|	0,054978727  	|	0,579681863  	|	0,823993866  	|	0,005587086  	|	0,476365421  	|	0,309538684  	|	0,608488258  	|	0,210105078  	|	0,849056029  	
27.04.2014	|	0,381633413  	|	0,73694728   	|	0,233764739  	|	0,143114838  	|	0,154984668  	|	0,327155376  	|	0,532266456  	|	0,156        	|	0,289348198  	|	0,062389582  	
28.04.2014	|	0,84713728   	|	0,748856295  	|	0,682247639  	|	0,413170781  	|	0,554840518  	|	0,850276322  	|	0,905420978  	|	0,069817807  	|	0,687014736  	|	0,164920732  	
29.04.2014	|	0,310097185  	|	0,131073968  	|	0,111075309  	|	0,120160645  	|	0,240019162  	|	0,877914346  	|	0,026001774  	|	0,237768354  	|	0,669290887  	|	0,511500595  	
30.04.2014	|	0,062750919  	|	0,628224186  	|	0,593148016  	|	0,835580433  	|	0,096406222  	|	0,818885305  	|	0,361642129  	|	0,439253294  	|	0,938026569  	|	0,259431077  	
01.05.2014	|	0,892199517  	|	0,681415403  	|	0,067892999  	|	0,96656771   	|	0,8033461    	|	0,438796272  	|	0,92180203   	|	0,496719531  	|	0,836538545  	|	0,523690745  	
02.05.2014	|	0,742155315  	|	0,528239444  	|	0,391894342  	|	0,259442483  	|	0,349492164  	|	0,35375625   	|	0,881401388  	|	0,521455783  	|	0,003914194  	|	0,689501     	
03.05.2014	|	0,815812412  	|	0,877050884  	|	0,562301016  	|	0,654046303  	|	0,505615604  	|	0,375904765  	|	0,644429453  	|	0,689424524  	|	0,515094366  	|	0,403041227  	
04.05.2014	|	0,419374523  	|	0,315683236  	|	0,075889245  	|	0,279043734  	|	0,361447601  	|	0,002164704  	|	0,447872315  	|	0,054824668  	|	0,335856069  	|	0,052525295  	
05.05.2014	|	0,132114627  	|	0,70098865   	|	0,136841443  	|	0,68847915   	|	0,098838591  	|	0,468523691  	|	0,920771424  	|	0,912445225  	|	0,484780003  	|	0,149982053  	
06.05.2014	|	0,094087052  	|	0,008096978  	|	0,47026809   	|	0,12689891   	|	0,333622895  	|	0,410011071  	|	0,475840288  	|	0,733685351  	|	0,792885626  	|	0,980133633  	
07.05.2014	|	0,812277121  	|	0,192739171  	|	0,763329706  	|	0,495495812  	|	0,969798094  	|	0,048238648  	|	0,768138247  	|	0,372337589  	|	0,29522313   	|	0,987094893  	
08.05.2014	|	0,430358392  	|	0,011965692  	|	0,497509075  	|	0,861669486  	|	0,565712047  	|	0,661305902  	|	0,040455326  	|	0,064498837  	|	0,549260758  	|	0,516766944  	
09.05.2014	|	0,575399049  	|	0,650660869  	|	0,141682742  	|	0,837723555  	|	0,202951398  	|	0,061084466  	|	0,188100709  	|	0,921426728  	|	0,736251288  	|	0,004918559  	
10.05.2014	|	0,672156372  	|	0,242738797  	|	0,056800474  	|	0,999964884  	|	0,706194557  	|	0,136343026  	|	0,044922232  	|	0,762120526  	|	0,884001097  	|	0,843971523  	
11.05.2014	|	0,790689339  	|	0,240794853  	|	0,019319527  	|	0,485229547  	|	0,584001952  	|	0,019830051  	|	0,561454977  	|	0,553592541  	|	0,799789962  	|	0,829304214  	
12.05.2014	|	0,143648933  	|	0,747935838  	|	0,580814696  	|	0,865231021  	|	0,414834505  	|	0,495170625  	|	0,115782037  	|	0,74124899   	|	0,54499237   	|	0,269159712  	
13.05.2014	|	0,231060719  	|	0,491024078  	|	0,719323418  	|	0,536976656  	|	0,686075044  	|	0,283058097  	|	0,175014767  	|	0,050667427  	|	0,598943044  	|	0,368075963  	
14.05.2014	|	0,902485419  	|	0,983504333  	|	0,931645962  	|	0,412799136  	|	0,226893744  	|	0,120129649  	|	0,878152641  	|	0,031234877  	|	0,011136229  	|	0,050761326  	
15.05.2014	|	0,62798533   	|	0,369557713  	|	0,128370706  	|	0,795573912  	|	0,179526149  	|	0,665147087  	|	0,098732949  	|	0,39698211   	|	0,831287245  	|	0,421750848  	
